PlayerID,ID,ACT,1~10级消耗CHR1,1~10级加工1,1~10级击杀怪物1,1~10级维修机器人消耗1,1~10级部件制造1,1~10级采矿1,对外发布雇佣兵委托1次,累计对外出租1艘矿船,累计对外出租2艘战舰,持有AlphaGate紫_1,持有AlphaGate红_1,持有AlphaGate蓝_1,持有AlphaGate金_1,持有Founder_Spaceship_1,持有紫色T1_1,持有紫色T1_3,持有紫色T1_5,持有紫色T1_30,持有紫色T1_50,持有紫色T1_10,持有紫色T1探索船_1,持有紫色T1探索船_3,持有紫色T1探索船_5,持有紫色T1探索船_30,持有紫色T1探索船_50,持有紫色T1探索船_10,持有紫色T1矿船_1,持有紫色T1矿船_3,持有紫色T1矿船_5,持有紫色T1矿船_30,持有紫色T1矿船_50,持有紫色T1矿船_10,持有紫色T2_1,持有紫色T2_3,持有紫色T2_5,持有紫色T2_30,持有紫色T2_50,持有紫色T2_10,持有紫色T2矿船_1,持有紫色T2矿船_3,持有紫色T2矿船_5,持有紫色T2矿船_30,持有紫色T2矿船_50,持有紫色T2矿船_10,持有紫色T3矿船_1,持有紫色T3矿船_3,持有紫色T3矿船_5,持有紫色T3矿船_30,持有紫色T3矿船_50,持有紫色T3矿船_10,组合AG一套,成就头像任意_1,成就头像任意_2,成就头像任意_3,成就头像任意_4,成就头像任意_5,成就头像任意_6,成就头像任意_8,成就头像任意_10,持有无聊猿金属唱片_1,持有OG,个人加成,永久成就点数,活跃分数,持有成就点数,核对活跃,核对持有,EIDRepeat,PIDRepeat
72057594133530477,72057594135359616,1711929600,75,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,275,0,Go,Go,0,0,
72057594133528040,72057594296173420,1711929600,75,130,150,200,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1,20000,815,3750,Go,Go,0,0,
72057594138928621,72057594141135065,1711929600,75,130,150,200,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7000,815,0,Go,Go,0,0,
72057594296728639,72057594295450353,1711929600,75,0,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12400,555,0,Go,Go,0,0,
72057594136129099,72057594135870982,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Go,Go,0,0,
72057594133528986,72057594133982201,1711929600,75,130,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1,16700,685,3750,Go,Go,0,0,
72057594144329697,72057594165944159,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,150,150,1125,1500,375,125,250,250,1875,5500,625,375,750,750,5625,16500,1875,450,900,900,6750,9000,2250,1125,2250,2250,16875,49500,5625,5000,10000,10000,75000,220000,25000,0,0,0,0,0,0,0,0,0,0,0,1,EmptyData,0,480750,NotMatch,NotMatch,0,0,
72057594138927982,72057594138731577,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Go,Go,0,0,
72057594133530500,72057594134977402,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,0,0,Go,Go,0,0,
72057594165528038,72057594165772744,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Go,Go,0,0,
72057594144329930,72057594156205670,1711929600,75,0,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,555,0,Go,Go,0,0,
72057594183528465,72057594298941332,1711929600,75,130,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65350,685,0,Go,Go,0,0,
72057594133528293,72057594133770003,1711929600,75,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,225,0,Go,Go,0,0,
72057594133528375,72057594133785776,1711929600,75,0,150,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1,8900,425,3750,Go,Go,0,0,
72057594165528053,72057594165943054,1711929600,75,130,150,200,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15850,815,0,Go,Go,0,0,
72057594133529440,72057594134541902,1711929600,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,200,0,Go,Go,0,0,
72057594133528439,72057594133798612,1711929600,75,0,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39400,555,0,Go,Go,0,0,
72057594133528345,72057594133777670,1711929600,75,130,150,200,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24700,815,0,Go,Go,0,0,
72057594136129131,72057594136725721,1711929600,75,0,150,200,0,130,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1.025000e+00,4500,555,8750,Go,Go,0,0,
72057594133528287,72057594133769478,1711929600,75,0,150,200,0,0,0,0,0,0,0,0,7500,625,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.040000e+00,30100,425,8200,Go,Go,0,0,
72057594133528137,72057594133751872,1711929600,75,0,150,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6800,425,0,Go,Go,0,0,
72057594170728242,72057594172548552,1711929600,75,130,150,200,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29600,815,0,Go,Go,0,0,
72057594367527973,72057594366337497,1711929600,75,0,150,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,1,7900,425,250,Go,Go,0,0,
72057594133528359,72057594133780293,1711929600,75,0,150,200,0,0,0,0,0,0,0,0,0,625,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,800,425,700,Go,Go,0,0,
72057594133528297,72057594133770488,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,0,0,Go,Go,0,0,
72057594165528009,72057594165938967,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Go,Go,0,0,
72057594133528245,72057594133764637,1711929600,75,0,150,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9000,425,0,Go,Go,0,0,
72057594133528227,72057594133762784,1711929600,75,0,150,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20250,425,0,Go,Go,0,0,
72057594249328468,72057594299260636,1711929600,75,0,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24900,555,0,Go,Go,0,0,
72057594133529711,72057594134370923,1711929600,75,0,150,200,0,130,0,0,0,0,0,0,0,625,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1,8700,555,4450,Go,Go,0,0,
72057594133529322,72057594134539090,1711929600,75,130,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26350,685,0,Go,Go,0,0,
72057594133528282,72057594133768653,1711929600,75,130,150,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11500,555,0,Go,Go,0,0,
72057594133528333,72057594133775721,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Go,Go,0,0,
72057594133528165,72057594133755055,1711929600,75,130,150,200,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1,21050,815,3750,Go,Go,0,0,
72057594133528251,72057594133765686,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,0,0,Go,Go,0,0,
72057594138928214,72057594138782175,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Go,Go,0,0,
72057594133528170,72057594133755446,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Go,Go,0,0,
72057594144328487,72057594143687367,1711929600,75,130,150,200,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20850,815,0,Go,Go,0,0,
72057594138928464,72057594139999621,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600,0,0,Go,Go,0,0,
72057594138928484,72057594138851030,1711929600,75,0,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1100,555,0,Go,Go,0,0,
72057594133528327,72057594133775223,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Go,Go,0,0,
72057594133528156,72057594133754380,1711929600,75,0,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9300,555,0,Go,Go,0,0,
72057594133529746,72057594134397878,1711929600,75,0,150,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,355,0,Go,Go,0,0,
72057594133529541,72057594134545023,1711929600,75,0,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13400,555,0,Go,Go,0,0,
72057594144331258,72057594161352951,1711929600,75,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,275,0,Go,Go,0,0,
72057594133528307,72057594133771524,1711929600,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,75,0,Go,Go,0,0,
72057594138928101,72057594296173638,1711929600,75,130,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1,65150,685,3750,Go,Go,0,0,
72057594133528304,72057594133771461,1711929600,75,0,150,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1,3600,425,3750,Go,Go,0,0,
72057594133529730,72057594134375553,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,0,0,Go,Go,0,0,
72057594133528383,72057594133787439,1711929600,0,0,0,0,0,0,0,0,0,6000,0,5000,0,625,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,3750,0,0,0,0,0,0,0,0,1.025000e+00,0,0,19200,Go,Go,0,0,
72057594133528311,72057594133773077,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Go,Go,0,0,
72057594138928375,72057594138818373,1711929600,75,130,150,200,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27500,815,0,Go,Go,0,0,
72057594183528143,72057594296173441,1711929600,75,130,150,200,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12300,815,0,Go,Go,0,0,
72057594144330674,72057594165939691,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,150,150,1125,1500,375,125,250,250,1875,5500,625,375,750,750,5625,16500,1875,450,900,900,6750,9000,2250,1125,2250,2250,16875,49500,5625,5000,10000,10000,75000,220000,25000,0,0,0,0,0,0,0,0,0,0,0,1,EmptyData,0,480750,NotMatch,NotMatch,0,0,
72057594133527985,72057594133737132,1711929600,75,130,150,200,0,130,0,0,0,0,0,5000,7500,625,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,3750,3750,3750,3750,3750,7500,7500,250,0,1.065000e+00,16100,685,50950,Go,Go,0,0,
72057594133527939,72057594133733720,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,150,150,1125,1500,375,125,250,250,1875,5500,625,375,750,750,5625,16500,1875,450,900,900,6750,9000,2250,1125,2250,2250,16875,49500,5625,5000,10000,10000,75000,220000,25000,0,0,0,0,0,0,0,0,0,0,0,1,EmptyData,0,480750,NotMatch,NotMatch,0,0,
72057594136128404,72057594295352116,1711929600,75,130,150,200,130,130,0,0,0,6000,0,0,0,625,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,3750,3750,0,0,0,0,0,250,0,1,36100,815,18200,Go,Go,0,0,
72057594133527979,72057594133737065,1711929600,75,130,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1,10300,685,3750,Go,Go,0,0,
72057594133529307,72057594134408914,1711929600,75,0,150,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8400,555,0,Go,Go,0,0,
72057594133528535,72057594296175513,1711929600,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1200,200,0,Go,Go,0,0,
72057594259728283,72057594296155970,1711929600,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200,0,Go,Go,0,0,
72057594144329651,72057594159728639,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,150,150,1125,1500,375,125,250,250,1875,5500,625,375,750,750,5625,16500,1875,450,900,900,6750,9000,2250,1125,2250,2250,16875,49500,5625,5000,10000,10000,75000,220000,25000,0,0,0,0,0,0,0,0,0,0,0,1,EmptyData,0,480750,NotMatch,NotMatch,0,0,
72057594144329909,72057594156196156,1711929600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Go,Go,0,0,
72057594133527982,72057594133737206,1711929600,75,0,150,200,0,130,0,0,0,0,0,0,0,625,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4300,555,700,Go,Go,0,0,
72057594133528447,72057594133800948,1711929600,75,0,150,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6200,355,0,Go,Go,0,0,
72057594133529789,72057594134391482,1711929600,75,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1,4400,275,3750,Go,Go,0,0,
